p1a_1,p1a_2,p1a_3,p1a_4,p1a_5,p1a_6,p1a_7,p1a_8,p1a_9,p1a_10,p1a_11,p1a_12,p1a_13,p1a_14,p1a_15,p1a_16,p1a_17,p1a_18,p1a_19,p1a_20,p1a_21,p1a_22,p17_1,p17_4,sexo,edad_1,escol,cond_act,h21_1,Tam_loc,ing_fam,Pondi2,estrato
3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,1,2,3,2,2,9,1,3,11032,31
3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,2,2,5,4,2,12,1,8,63083,31
3,2,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,4,4,1,1,3,3,31357,23
3,2,3,1,2,1,2,2,2,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,2,2,5,1,7,1,0,61769,21
3,3,3,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,2,6,2,1,7,4,3,99437,44
3,3,3,2,2,2,2,1,3,3,3,1,3,3,3,2,3,3,3,3,2,3,1,2,1,3,4,1,13,2,8,99237,32
3,3,3,3,2,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,7,3,1,12,1,3,151129,41
3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,1,2,5,1,2,2,2,6,12240,12
3,3,3,3,3,2,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,6,2,1,12,2,5,19118,12
3,3,3,3,3,8,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,1,4,4,1,7,1,4,33680,31
3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,3,4,1,-1,2,8,30798,12
3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,2,4,4,1,-1,1,8,25562,11
3,2,3,2,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,2,4,4,1,2,1,7,46473,31
3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,2,4,3,2,4,4,3,51339,34
3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,2,3,2,2,5,1,3,23020,31
3,3,3,1,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,2,1,2,3,1,14,1,6,39916,11
3,1,3,1,1,1,3,1,3,3,3,3,3,1,3,1,3,3,3,3,3,3,1,2,1,6,5,1,11,1,4,6773,21
3,1,3,1,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,9,9,1,1,1,3,3,1,14,1,7,17455,31
3,2,3,2,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,2,4,3,1,2,1,7,46473,31
3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,2,4,2,1,10,2,6,60484,32
3,2,3,2,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,9,9,1,1,1,4,3,1,14,1,5,84527,31
3,3,3,2,2,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,4,3,2,2,1,4,33136,31
3,3,3,2,3,2,3,3,2,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,2,3,3,1,7,1,3,16217,41
3,3,3,2,3,2,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,3,4,1,14,1,3,35005,31
